"Year","University","Unit","Code","Degree","Cutoff","DegreeOnly"
2022,"Cádiz","Facultad de Enfermería",2501335,"Grado en Enfermería (Facultad de Enfermería)",11.571,"Grado en Enfermería"
2022,"Cádiz","Facultad de Enfermería y Fisioterapia. Sede de Jerez",2501335,"Grado en Enfermería (Facultad de Enfermería y Fisioterapia. Sede de Jerez)",11.949,"Grado en Enfermería"
2022,"Cádiz","Facultad de Ciencias",2501029,"Grado en Matemáticas (Facultad de Ciencias)",11.753,"Grado en Matemáticas"
2022,"Cádiz","Facultad de Ciencias",2501334,"Grado en Química (Facultad de Ciencias)",9.911,"Grado en Química"
2022,"Cádiz","Facultad de Ciencias",2502558,"Grado en Biotecnología (Facultad de Ciencias)",11.553,"Grado en Biotecnología"
2022,"Cádiz","Facultad de Ciencias",2502562,"Grado en Enología (Facultad de Ciencias)",5,"Grado en Enología"
2022,"Cádiz","Facultad de Ciencias",7000534,"Doble grado en Química y Enología (Facultad de Ciencias)",7.444,"Doble grado en Química y Enología"
2022,"Cádiz","Facultad de Ciencias",7001136,"Doble grado en Matemáticas e Ingeniería Informática (Facultad de Ciencias)",11.912,"Doble grado en Matemáticas e Ingeniería Informática"
2022,"Cádiz","Facultad de Ciencias del Mar y Ambientales",2501028,"Grado en Ciencias del Mar (Facultad de Ciencias del Mar y Ambientales)",8.1,"Grado en Ciencias del Mar"
2022,"Cádiz","Facultad de Ciencias del Mar y Ambientales",2501135,"Grado en Ciencias Ambientales (Facultad de Ciencias del Mar y Ambientales)",5,"Grado en Ciencias Ambientales"
2022,"Cádiz","Facultad de Ciencias del Mar y Ambientales",7000054,"Doble grado en CC Ambientales y CC del Mar (Facultad de Ciencias del Mar y Ambientales)",5,"Doble grado en CC Ambientales y CC del Mar"
2022,"Cádiz","Facultad de Ciencias del Mar y Ambientales",7000241,"Doble grado en CC del Mar y CC Ambientales (Facultad de Ciencias del Mar y Ambientales)",7.72,"Doble grado en CC del Mar y CC Ambientales"
2022,"Córdoba","Facultad de Ciencias de la Educación",2501788,"Grado en Educación Infantil (Facultad de Ciencias de la Educación)",7.23,"Grado en Educación Infantil"
2022,"Córdoba","Facultad de Ciencias de la Educación",2501789,"Grado en Educación Primaria (Facultad de Ciencias de la Educación)",8.46,"Grado en Educación Primaria"
2022,"Córdoba","Facultad de Ciencias de la Educación",2503045,"Grado en Educación Social (Facultad de Ciencias de la Educación)",8.314,"Grado en Educación Social"
2022,"Córdoba","Centro Magisterio """"Sagrado Corazón""""",2501788,"Grado en Educación Infantil (Centro Magisterio """"Sagrado Corazón"""")",5,"Grado en Educación Infantil"
2022,"Córdoba","Centro Magisterio """"Sagrado Corazón""""",2501789,"Grado en Educación Primaria (Centro Magisterio """"Sagrado Corazón"""")",5,"Grado en Educación Primaria"
2022,"Córdoba","Facultad de Derecho y Ciencias Económicas y Empresariales",2501140,"Grado en Administración y Dirección de Empresas (Facultad de Derecho y Ciencias Económicas y Empresariales)",8.763,"Grado en Administración y Dirección de Empresas"
2022,"Córdoba","Facultad de Derecho y Ciencias Económicas y Empresariales",2501319,"Grado en Derecho (Facultad de Derecho y Ciencias Económicas y Empresariales)",6.686,"Grado en Derecho"
2022,"Córdoba","Facultad de Derecho y Ciencias Económicas y Empresariales",7000056,"Doble grado en Derecho y Administración y Dirección de Empresas (Facultad de Derecho y Ciencias Económicas y Empresariales)",5,"Doble grado en Derecho y Administración y Dirección de Empresas"
2022,"Córdoba","Facultad de Ciencias del Trabajo",2501320,"Grado en Relaciones Laborales y Recursos Humanos (Facultad de Ciencias del Trabajo)",5,"Grado en Relaciones Laborales y Recursos Humanos"
2022,"Córdoba","Facultad de Ciencias del Trabajo",2501791,"Grado en Turismo (Facultad de Ciencias del Trabajo)",5,"Grado en Turismo"
2022,"Córdoba","Facultad de Ciencias del Trabajo",7000690,"Doble grado en Turismo y Traducción e Interpretación, esp. Inglés (Facultad de Ciencias del Trabajo)",5,"Doble grado en Turismo y Traducción e Interpretación, esp. Inglés"
2022,"Córdoba","Escuela Politécnica Superior de Bélmez",2501794,"Grado en Ingeniería Civil (Escuela Politécnica Superior de Bélmez)",5,"Grado en Ingeniería Civil"
2022,"Córdoba","Escuela Politécnica Superior de Bélmez",2501795,"Grado en Ingeniería de la Energía y Recursos Minerales (Escuela Politécnica Superior de Bélmez)",5,"Grado en Ingeniería de la Energía y Recursos Minerales"
2022,"Córdoba","Escuela Politécnica Superior de Bélmez",7000376,"Doble grado en Ingeniería Civil y Recursos Energéticos y Mineros (Escuela Politécnica Superior de Bélmez)",5,"Doble grado en Ingeniería Civil y Recursos Energéticos y Mineros"
2022,"Córdoba","Escuela Politécnica Superior de Bélmez",7000892,"Doble grado en Recursos Energéticos y Minerose Ingeniería eléctrica (Escuela Politécnica Superior de Bélmez)",5,"Doble grado en Recursos Energéticos y Minerose Ingeniería eléctrica"
2022,"Córdoba","Escuela Politécnica Superior de Bélmez",7000982,"Doble grado en Ingeniería Civil y Administración y Dirección de Empresas (Escuela Politécnica Superior de Bélmez)",5,"Doble grado en Ingeniería Civil y Administración y Dirección de Empresas"
2022,"Córdoba","Escuela Técnica Superior de Ingeniería Agronómica y de Montes",2501793,"Grado en Ingeniería Agroalimentaria y del Medio Rural (Escuela Técnica Superior de Ingeniería Agronómica y de Montes)",5,"Grado en Ingeniería Agroalimentaria y del Medio Rural"
2022,"Córdoba","Escuela Técnica Superior de Ingeniería Agronómica y de Montes",2501798,"Grado en Ingeniería Forestal (Escuela Técnica Superior de Ingeniería Agronómica y de Montes)",5,"Grado en Ingeniería Forestal"
2022,"Córdoba","Escuela Técnica Superior de Ingeniería Agronómica y de Montes",7000797,"Doble grado en Ingeniería Agroalimentaria y del Medio Rural e Ingeniería Forestal (Escuela Técnica Superior de Ingeniería Agronómica y de Montes)",5,"Doble grado en Ingeniería Agroalimentaria y del Medio Rural e Ingeniería Forestal"
2022,"Córdoba","Escuela Politécnica Superior de Córdoba",2501796,"Grado en Ingeniería Eléctrica (Escuela Politécnica Superior de Córdoba)",5,"Grado en Ingeniería Eléctrica"
2022,"Córdoba","Escuela Politécnica Superior de Córdoba",2501797,"Grado en Ingeniería Electrónica Industrial (Escuela Politécnica Superior de Córdoba)",5,"Grado en Ingeniería Electrónica Industrial"
2022,"Córdoba","Escuela Politécnica Superior de Córdoba",2501799,"Grado en Ingeniería Informática (Escuela Politécnica Superior de Córdoba)",9.213,"Grado en Ingeniería Informática"
2022,"Córdoba","Escuela Politécnica Superior de Córdoba",2501800,"Grado en Ingeniería Mecánica (Escuela Politécnica Superior de Córdoba)",5,"Grado en Ingeniería Mecánica"
2022,"Córdoba","Facultad de Filosofía y Letras",2501779,"Grado en Estudios Ingleses (Facultad de Filosofía y Letras)",5,"Grado en Estudios Ingleses"
2022,"Córdoba","Facultad de Filosofía y Letras",2501780,"Grado en Filología Hispánica (Facultad de Filosofía y Letras)",5,"Grado en Filología Hispánica"
2022,"Córdoba","Facultad de Filosofía y Letras",2501781,"Grado en Historia (Facultad de Filosofía y Letras)",5,"Grado en Historia"
2022,"Córdoba","Facultad de Filosofía y Letras",2501782,"Grado en Historia del Arte (Facultad de Filosofía y Letras)",5,"Grado en Historia del Arte"
2022,"Córdoba","Facultad de Filosofía y Letras",2501783,"Grado en Traducción e Interpretación (Facultad de Filosofía y Letras)",5,"Grado en Traducción e Interpretación"
